Name,Description,IsOwnBank,RoutingNo,SwiftCode,C_Bank>C_Location>City,C_Bank>C_Location>Postal,C_Bank>C_Location>C_Country_ID[Name]
Ver Spk Weilheim,Vereinigte Sparkassen im Landkreis Weilheim,N,70351030,BYLADEM1WHM,Weilheim i. OB,82360,Germany - Deutschland
Raiffbk Wallgau-Krün,Raiffeisenbank Wallgau-Krün,N,70362595,GENODEF1WAK,Wallgau,82499,Germany - Deutschland
Commerzbank Garmisch-Par,Commerzbank vormals Dresdner Bank,N,70380006,DRESDEFF703,Garmisch-Partenkirchen,82467,Germany - Deutschland
VR-Bank Werdenfels,VR-Bank Werdenfels,N,70390000,GENODEF1GAP,Garmisch-Partenkirchen,82459,Germany - Deutschland
VB-Raiffbk Penzberg -alt-,Volksbank-Raiffeisenbank Penzberg -alt-,N,70391800,GENODEF1PZB,Penzberg,82374,Germany - Deutschland
BBk München eh B Reichenhal,Bundesbank eh Bad Reichenhall,N,71000000,MARKDEF1710,München,80711,Germany - Deutschland
UniCredit Bank-HypoVereinbk,UniCredit Bank - HypoVereinsbank,N,71020072,HYVEDEMM410,Bad Reichenhall,83423,Germany - Deutschland
UniCredit Bank-HypoVereinbk,UniCredit Bank - HypoVereinsbank,N,71021270,HYVEDEMM629,Neuötting,84519,Germany - Deutschland
UniCredit Bank-HypoVereinbk,UniCredit Bank - HypoVereinsbank,N,71022182,HYVEDEMM453,"Traunstein, Oberbay",83261,Germany - Deutschland
UniCredit Bank-HypoVereinbk,UniCredit Bank - HypoVereinsbank,N,71023173,HYVEDEMM632,"Burghausen, Salzach",84479,Germany - Deutschland
Spk Berchtesgadener Land,Sparkasse Berchtesgadener Land,N,71050000,BYLADEM1BGL,Bad Reichenhall,83435,Germany - Deutschland
Kr Spk Altötting-Burgh-alt-,Kreissparkasse Altötting-Burghausen -alt-,N,71051010,BYLADEM1AOE,Altötting,84497,Germany - Deutschland
Kr Spk Traunstein-Trostberg,Kreissparkasse Traunstein-Trostberg,N,71052050,BYLADEM1TST,"Traunstein, Oberbay",83264,Germany - Deutschland
VR meine Raiffeisenbank,VR meine Raiffeisenbank,N,71061009,GENODEF1AOE,Altötting,84496,Germany - Deutschland
Raiffeisenbank Anger,Raiffeisenbank,N,71062802,GENODEF1AGE,Anger b Bad Reichenhall,83454,Germany - Deutschland
VB RB Oberbayern Südost,Volksbank Raiffeisenbank Oberbayern Südost,N,71090000,GENODEF1BGL,Bad Reichenhall,83423,Germany - Deutschland
BBk München eh Rosenheim,Bundesbank eh Rosenheim,N,71100000,MARKDEF1711,München,80711,Germany - Deutschland
UniCredit Bank-HypoVereinbk,UniCredit Bank - HypoVereinsbank,N,71120077,HYVEDEMM448,"Rosenheim, Oberbay",83001,Germany - Deutschland
UniCredit Bank-HypoVereinbk,UniCredit Bank - HypoVereinsbank,N,71120078,HYVEDEMM644,Rottach-Egern,83697,Germany - Deutschland
UniCredit Bank-HypoVereinbk,UniCredit Bank - HypoVereinsbank,N,71121176,HYVEDEMM438,Mühldorf a. Inn,84445,Germany - Deutschland
UniCredit Bank-HypoVereinbk,UniCredit Bank - HypoVereinsbank,N,71122183,HYVEDEMM457,Waldkraiburg,84465,Germany - Deutschland
Commerzbank Rosenheim,Commerzbank Rosenheim,N,71140041,COBADEFF711,"Rosenheim, Oberbay",83022,Germany - Deutschland
Commerzbank Mühldorf Inn,Commerzbank,N,71141041,COBADEFF704,Mühldorf a. Inn,84453,Germany - Deutschland
